IFN,Provincia,comunidad_autonoma,longitud,Latitud,Ano_inventario,Bosque_no_adehesado,Bosque_adehesado,Monte_arbolado_ralo,Total_monte_arbolado,Monte_desarbolado,Total_uso_forestal,Total_uso_no_forestal,Total_provincial,Biomasa_arborea,Cantidad_pies_mayores,Cantidad_pies_menores,Cantidad_pies_mayoresxHa,Cantidad_pies_menoresxHa,Biomasa_arboreaxHa
IFN4,A Coruna,Galicia,43.4336003,-8.2570838,2009,409917,,5464,415381,86205,50586,293452,795038,64125320,290578320,293420177,700,706,154.38
IFN3,A Coruna,Galicia,43.4336003,-8.2570838,1997,371475,0,29714,401189,104417,505606,289432,795038,40804528,197617033,281358378,493,701,101.71
IFN2,A Coruna,Galicia,43.4336003,-8.2570838,1986,311173,0,32990,344163,141315,485478,309669,795147,33117239,151596632,147628150,440,429,96.23
IFN1,A Coruna,Galicia,43.4336003,-8.2570838,1973,,,,355774,164776,520550,267050,787600,25643030,229555278,139089061,645,391,72.08
IFN4,Pontevedra,Galicia,42.4224148,-8.6192535,2009,206969,,3234,210203,86785,296988,152463,449451,33047793,121018923,143249825,576,681,157.22
IFN3,Pontevedra,Galicia,42.4224148,-8.6192535,1998,199557,0,21260,220817,81428,302245,147206,449451,23435638,99880832,158297562,452,717,106.13
IFN2,Pontevedra,Galicia,42.4224148,-8.6192535,1987,115747,0,18641,134388,150311,284699,164752,449451,14576046,58596645,50957422,436,379,108.46
IFN1,Pontevedra,Galicia,42.4224148,-8.6192535,1972,,,,201280,106592,307872,139828,447700,16976558,115946210,73060747,576,363,84.34
IFN4,Lugo,Galicia,43.0026319,-7.4994393,2009,481712,,6970,488682,168161,656843,328777,985620,64902437,312756756,282036558,640,577,132.81
IFN3,Lugo,Galicia,43.0026319,-7.4994393,1998,437343,0,26476,463819,192429,656248,329372,985620,46220913,254827942,295465566,549,637,99.65
IFN2,Lugo,Galicia,43.0026319,-7.4994393,1987,285967,0,82609,368576,302071,670647,314926,985573,29593443,184367283,176867431,500,480,80.29
IFN1,Lugo,Galicia,43.0026319,-7.4994393,1972,,,,328164,315917,644081,336219,980300,15455065,161233058,155608311,491,474,47.1
IFN4,Ourense,Galicia,42.3508822,-7.9021054,2009,297508,,12320,309828,265436,575264,152074,727338,30838491,169570504,160276629,547,517,99.53
